No GAINES	Duplication	[0.2-0.4]	[0.4-0.6]	[0.6-0.8]	[0.8-1.0]
0.58	0.53	0.71	0.68	0.59	0.35
0.65	0.65	0.91	0.72	0.83	0.56
0.84	0.86	1.15	0.87	0.7	0.48
0.6	0.51	0.6	0.55	0.53	0.37
0.65	0.59	0.84	0.66	0.64	0.37
0.77	0.66	0.83	0.75	0.68	0.5
0.89	0.87	1.05	0.92	0.85	0.57
0.58	0.69	0.86	0.68	0.66	0.33
0.51	0.45	0.61	0.51	0.47	0.3
0.57	0.53	0.77	0.68	0.62	0.45
0.79	0.75	0.76	0.77	0.73	0.6
0.68	0.63	0.78	0.73	0.63	0.52
0.65	0.65	0.86	0.77	0.6	0.51
0.49	0.45	0.75	0.58	0.52	0.37
0.65	0.65	0.97	0.8	0.75	0.5
0.75	0.76	0.85	0.9	0.83	0.56
0.78	0.79	0.78	0.77	0.67	0.53
0.63	0.75	0.9	0.75	0.58	0.45
0.74	0.65	0.81	0.74	0.61	0.4
0.7	0.62	0.86	0.73	0.65	0.49
0.66	0.67	0.86	0.67	0.59	0.49
0.72	0.58	0.81	0.7	0.5	0.34
0.6	0.68	0.91	0.74	0.65	0.42
0.76	0.82	1	0.86	0.83	0.39
0.62	0.6	0.76	0.71	0.56	0.38
0.71	0.73	0.77	0.82	0.67	0.56
0.85	0.84	0.89	0.84	0.72	0.51
0.62	0.59	0.83	0.66	0.53	0.46
0.68	0.63	0.84	0.7	0.69	0.45
0.66	0.62	0.93	0.72	0.66	0.42
0.75	0.73	0.98	0.75	0.68	0.46
0.82	0.79	1.07	0.98	0.76	0.6
0.62	0.7	1.05	0.78	0.73	0.55
0.92	0.68	0.85	0.83	0.67	0.48
0.66	0.76	0.95	0.82	0.66	0.44
0.76	0.7	0.78	0.68	0.7	0.42
0.61	0.81	1.08	0.89	0.81	0.42
0.76	0.7	0.96	0.74	0.73	0.51
0.67	0.68	0.79	0.74	0.55	0.52
0.61	0.6	0.79	0.67	0.65	0.4
0.64	0.61	0.77	0.69	0.61	0.55
0.56	0.59	0.63	0.64	0.6	0.36
0.67	0.7	1.03	0.79	0.62	0.43
0.63	0.6	0.86	0.71	0.61	0.5
0.66	0.61	0.81	0.73	0.65	0.49
0.72	0.73	0.86	0.85	0.79	0.58
0.63	0.59	0.95	0.72	0.65	0.51
0.63	0.61	0.94	0.69	0.69	0.45
0.67	0.58	0.86	0.64	0.66	0.42
0.67	0.67	1.01	0.82	0.68	0.5
